Clase,SubClase,Rubro,SubRubro,Cuenta,Nombre,GLA_DESCRIPTION
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111234,FONDOS A RENDIR USD,Accounts Receivable - Cash Advance
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112110,DEUDORES POR VENTAS,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112111,CONCEPTOS A FACTURAR,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112112,CONCEPTOS A FACTURAR INTERCOMPANY,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112113,DEUDORES VS,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112114,GASTOS A FACTURAR FCB LA,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112115,PROVISION DE INGRESOS,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112120,CHEQUES DIFERIDOS CLIENTES(No Usar),Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112205,ANTICIPO IMP A LAS GCIAS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112220,SALDO A FAVOR IMP GANANCIAS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112230,SALDO A FAVOR INGRESOS BRUTOS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112235,CRED FISCAL IVA 21%,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112240,CRED FISCAL IVA 27%,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112241,CRED FISCAL IVA 10.5%,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112242,CRED FISCAL IVA 2.5%,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112243,CRED FISCAL IVA 5%,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112244,CRED FISCAL IVA EXTERIOR,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112245,PERCEPCION IVA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112246,PERCEPCION GANANCIAS RG 3550,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112247,PERCEPCION RG 4815,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112250,PERCEPCION IIBB CABA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112251,PERCEPCION IIBB BS AS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112252,PERCEPCION IIBB CORDOBA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112253,PERCEPCION IIBB SANTA FE,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112260,SALDO A FAVOR IVA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112265,ANTICIPOS DE IVA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112270,ANTICIPOS IGMP,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112271,SALDO A FAVOR IGMP,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112272,ACTIVO DIF IMP A LAS GCIAS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112280,RETENCION SUSS CLIENTES,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112281,CRÉDITO IMPOSITIVO GANANCIAS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112285,GCIA.MINIMA PRESUNTA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112290,CREDITO FISCAL DESCUENTO DE CH,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112291,DIFERENCIA DE COBRO,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112298,ANTICIPO SICORE,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112299,CRED IMPUESTO LEY 25413,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112300,ANTICIPO SIJP,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112310,RETENCION IMP GCIAS CLIENTES,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112320,RETENCION IVA DE CLIENTES,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112330,RETENCION IIBB CABA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112331,RETENCION IIBB BS AS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112332,RETENCION IIBB CORODBA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112333,RETENCION IIBB SANTA FE,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112350,RETENCION SIRCREB BANCOS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112405,ANTICIPOS A PROVEEDORES,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112410,ANTICIPO PERSONAL ,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112415,GTOS.A RENDIR,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112416,GTOS ADELANTADO SEGUROS,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,ACCIONES SIN COTIZACION,112420,FONDOS A RENDIR (FO),Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112425,OTROS CREDITOS,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112426,ACCIONISTAS SP,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112427,ACCIONISTAS CM,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112455,PREV DEUDORES INCOBRABLES,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112460,DEPOSITO EN GARANTIA,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112490, CTA PARTICULAR CAMILA MEDICI,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112491,CTA. PARTICULAR SANTIAGO PUIGGARI,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112492,PRESTAMO PUIGGARI,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112493,CREDITO INTERCO,Accounts Receivable - Other
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112494,DIVIDENDOS A COBRAR,Other Assets
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112495,ACCIONISTAS,Other Assets
ACTIVO,ACTIVO CORRIENTE,INVERSIONES,,113039,FCI SUPERVIELLE,Investment
ACTIVO,ACTIVO CORRIENTE,INVERSIONES,,113040,FCI CM PESOS,Investment
ACTIVO,ACTIVO CORRIENTE,INVERSIONES,,113041,FCI DOLARES SANTANDER RIO,Investment
ACTIVO,ACTIVO CORRIENTE,INVERSIONES,,113042,FCI SANTANDER RIO,Investment
ACTIVO,ACTIVO CORRIENTE,INVERSIONES,,113043,BONAR EN U$S,Investment
ACTIVO,ACTIVO CORRIENTE,INVERSIONES,,113044,LEBAC INTERNA $,Investment
ACTIVO,ACTIVO CORRIENTE,INVERSIONES,,113045,FCI BALANZ $,Investment
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121010,VO MUEBLES Y UTILES,Furniture and Fixtures
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121011,AA MUEBLES Y UTILES,Acc Amort - Furniture and Fxitures
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121030,VO EQUIPOS DE COMPUTACION,Computer Equipment
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121031,AA EQUIPOS DE COMPUTACION,Acc Amort - Computer Equipment
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121040,VO SOFTWARE,Computer Equipment
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121041,AA SOFTWARE,Acc Amort - Computer Equipment
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121050,VO INSTALACIONES,Tools
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121051,AA INSTALACIONES,Acc Amort - Tools
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121060,VO RODADOS,Furniture and Fixtures
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121061,AA RODADOS,Acc Amort - Furniture and Fxitures
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121070,VO EQUIPOS DE COMUNICACION,Tools
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121071,AA EQUIPOS DE COMUNICACION,Acc Amort - Tools
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121080,VO APARATOS TELEFONICOS,Tools
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121081,AA APARATOS TELEFONICOS,Acc Amort - Tools
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121090,VO MEJORAS DE INMUEBLES,Leasehold Improvements
ACTIVO,ACTIVO NO CORRIENTE,BIENES DE USO,,121095,AA MEJORAS DE INMUEBLES,Acc Amort - Leasehold Improvements
ACTIVO,ACTIVO NO CORRIENTE,INVERSIONES A LARGO PLAZO,ACCIONES SIN COTIZACION,123001,ANT. A CUENTA DE DIVIDENDOS,Other Assets
ACTIVO,ACTIVO NO CORRIENTE,INVERSIONES A LARGO PLAZO,ACCIONES SIN COTIZACION,123002,"ESPACIOS S.A. VPP 17,86%",Other Assets
ACTIVO,ACTIVO NO CORRIENTE,INVERSIONES A LARGO PLAZO,ACCIONES SIN COTIZACION,123003,FONDO GARANTIA ESPACIOS,Other Assets
ACTIVO,ACTIVO NO CORRIENTE,INVERSIONES A LARGO PLAZO,ACCIONES SIN COTIZACION,123004,XYZ S.A. PRODUCCIONES,Other Assets
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211010,PROVEEDORES DE MEDIOS,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211020,PROVEEDORES DE PRODUCCION,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211030,PROVEEDORES DE GASTOS,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211070,ANTICIPO DE CLIENTES,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211080,ACREEDORES VARIOS,Accounts Payable - Argentina
ACTIVO,ACTIVO CORRIENTE,DEUDAS COMERCIALES,,211085,CH DIF SANTANDER RIO,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211090,CH DIF BANCO 2,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211095,TARJETA AMEX L. CALIO A PAGAR,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211096,TARJETA AMEX BTA A PAGAR,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211097,TARJETA AMEX S. PUIGGARI	A PAGAR,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211098,TARJETA VISA SP A PAGAR,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS COMERCIALES,,211099,TARJETA VISA DL,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,SERV.PENDIENTES DE LIQUID.,,212010,CUENTA PUENTE MEDIOS,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,SERV.PENDIENTES DE LIQUID.,,212020,CUENTA PUENTE PRODUCCION,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,SERV.PENDIENTES DE LIQUID.,,212021,CUENTA PUENTE PRODUCCION - PROVISION,Accounts Payable - Argentina
PASIVO,PASIVO CORRIENTE,DEUDAS BANCARIAS,,213010,PRESTAMOS A PAGAR - CAPITAL,Lease Liability - operating leases
PASIVO,PASIVO CORRIENTE,DEUDAS BANCARIAS,,213011,INTERESES PRESTAMOS A PAGAR,Lease Liability - operating leases
PASIVO,PASIVO CORRIENTE,DEUDAS BANCARIAS,,213012,INTERESES A DEVENGAR,Lease Liability - operating leases
PASIVO,PASIVO CORRIENTE,CARGOS BANCARIOS & SEGUROS,,213014,SEGUROS A DEVENGAR,Accrued General Insurance
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,213050,Facturas a Recibir ,Accounts Payable
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214010,SUELDOS A PAGAR,Accrued Salaries & Bonus
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214011,SUELDOS A PAGAR u$s,Accrued Salaries & Bonus
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214015,CARGAS SOC. A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214020,APORTES SEG SOC A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214030,APORTES OS A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214040,CONTRIB. SEG SOC A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214050,CONTRIB OS A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214060,ART A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214070,SINDICATO A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214075,PROVISION SUELDOS/AGUINALDO/VACAC CS SOCIALES,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214076,PROVISION  CS SOCIALES,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS SOCIALES,,214080,SEGURO VIDA A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215010,RET GANANCIAS EFECTUADAS A PROVEEDORES,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215011,PERCEPCION IVA A CLIENTES,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215012,RETENCIONES IVA A PROVEEDORES,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215013,RET.BENEFFICIARIOS DEL EXTERIOR         ,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215015,RET SUSS EFECTUADAS,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215020,RET GANANCIAS EMPLEADO,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215021,RETENCION IIBB EFECTUADAS,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215030,IVA DEBITO FISCAL 21%,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215035,"IVA DEBITO FISCAL 10,5%",Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215036,PERCEPCION IIBB EFECTUADAS,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215037,IVA EXPORTACION DE SERVICIOS,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215055,PROVISION IMP GANANCIAS,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215060,INTERESES IVA A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215070,INTERESES AFIP A DEVENGAR ,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215094,PFP BBPP ACC PART Y SOC,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215095,PLAN FACILIDADES SUSS A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215096,IIBB A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215097,PLAN FACILIDADES A  PAGAR  IIBB,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215098,IMP. A LAS GANANCIAS A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215099,IVA  A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215100,PLAN FACILIDADES DE PAGO IVA,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215101,INT A DEV PFP IVA,Tax Payable
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,215102,PATENTES  A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215130,IMP GCIA MIN PRSUNTA A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215131,INT A DEV PFP IIBB,Tax Payable
PASIVO,PASIVO CORRIENTE,DEUDAS FISCALES,,215200,DERECHOS DE EXPORTACION A PAGAR,Tax Payable
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216110,HON A PAGAR A SOCIO GERENTE,Accrued Salaries & Bonus
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216180,PREV.DEUDORES INCOBRABLES,Accrued Liabilities
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216210,DIVIDENDOS A PAGAR,Accrued Liabilities
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216225,PROVISION HON SOCIO GERENTE,Accrued Liabilities
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216226,PRESTAMOS INTERCO RECIBIDOS,Accounts Payable - TogetherWith
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216330,PROVISION PARA GASTOS,Accrued Liabilities
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216331,SEGUROS A PAGAR,Accrued General Insurance
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216332,PROVISION AMEX/VISA,Accrued Liabilities
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216333,PROVISION JUICIOS Y LITIGIOS,Accrued Legal
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216334,MISCELLANEOUS CREDIT RELATED LIAB       ,Accrued Liabilities
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216335,PROV. GS AUDITORIA / LEGAL              ,Accrued Legal
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216337,PROVISIÓN PAGO IMPUESTOS DEL EXTERIOR   ,Accrued Liabilities
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216338,PROVISIÓN PAGO IMPUESTOS DEL EXTERIOR   ,Accrued Liabilities
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216339,PROVISION CONTINGENCIA IMPOSITIVA       ,Accrued Legal
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216340,PROVISION CARGO AGENCIA                 ,Accrued Liabilities
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216341,PROVISION LITIGIO  ALCHOURRON,Accrued Legal
PASIVO,PASIVO CORRIENTE,OTROS DEUDAS,,216350,FACTURAS A RECIBIR,Accrued Liabilities
PATRIMONIO NETO,CAPITAL,CAPITAL SUSCRIPTO,,311010,CAPITAL SOCIAL,Contributed capital
PATRIMONIO NETO,CAPITAL,CAPITAL SUSCRIPTO,,311020,AJUSTES DE CAPITAL,Contributed capital
PATRIMONIO NETO,RESERVA,RESERVAS,,321010,RESERVA LEGAL,Contributed capital
PATRIMONIO NETO,RESERVA,RESERVAS,,321020,RESERVA PARA CAP DE TRABAJO,Contributed capital
PATRIMONIO NETO,RESERVA,RESERVAS,,321030,RESERVA FACULTATIVA,Contributed capital
PATRIMONIO NETO,RESULTADOS,RESULTADOS NO ASIGNADOS,,331010,DE EJERCICIOS ANTERIORES NO ASIGNADOS,Contributed capital
PATRIMONIO NETO,RESULTADOS,RESULTADOS NO ASIGNADOS,,331020,DEL EJERCICIO,Contributed capital
INGRESOS,INGRESOS OPERATIVOS,INGRESOS,,411010,FEE,Sales - Retainer Fees
INGRESOS,INGRESOS OPERATIVOS,INGRESOS,,411011,OTROS INGRESOS OPERATIVOS,Sales - Production Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS,,411012,HONORARIOS SERVICIO DE COORDINACION CLIENTES,Sales - Production Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS,,411013,HONORARIOS SERVICIO DE BACK OFFICE,Sales - Production Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS,,411014,INGRESOS POR SERVICIOS DE GASTOS COMPARTIDOS,Sales - Production Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS,,411020,SERVICIO AGENCIA PRODUCCION,Sales - Production Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS,,411030,VENTAS SERVICIOS PROPIOS,Sales - Production Default
INGRESOS,INGRESOS OPERATIVOS,OTROS INGRESOS,,411031,GANANCIA POR TENENCIA,Other Income
INGRESOS,INGRESOS OPERATIVOS,OTROS INGRESOS,,411032,DIVIDENDOS RECIBIDOS,Other Income
INGRESOS,INGRESOS OPERATIVOS,INGRESOS,,411040,RESULTADO PRODUCCION,Sales - Production Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS,,411041,RESULTADO PRODUCCION MEDIA PLUS,Sales - Production Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS,,411070,ANTICIPOS PRODUCCION,Sales - Production Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS MEDIOS,,412010,FEE MEDIOS,Sales - Media Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS MEDIOS,,412011,OTROS SERVICIOS MEDIOS,Sales - Media Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS MEDIOS,,412020,SERVICIO AGENCIA MEDIOS,Sales - Media Default
INGRESOS,INGRESOS OPERATIVOS,INGRESOS MEDIOS,,412040,RESULTADO MEDIOS,Sales - Media Default
INGRESOS,INGRESOS NO OPERATIVOS,OTROS INGRESOS,,421010,DESC POR PRONTO PAGO,Sales - Media Default
INGRESOS,INGRESOS NO OPERATIVOS,OTROS INGRESOS,,421020,INTERESES FINANCIEROS GANADOS,Other Income
INGRESOS,INGRESOS NO OPERATIVOS,OTROS INGRESOS,,421030,DIF. DE CAMBIO,Sales - Media Default
INGRESOS,INGRESOS NO OPERATIVOS,OTROS INGRESOS,,421031,OTROS INGRESOS VARIOS,Sales - Media Default
INGRESOS,STAFF COST,STAFF COST,,421032,DEC 376/2020 SALARIO COMPLEMENTARIO,Payroll
INGRESOS,INGRESOS NO OPERATIVOS,OTROS INGRESOS,,421033,COBRO DE SINIESTROS,Sales - Media Default
INGRESOS,INGRESOS NO OPERATIVOS,OTROS INGRESOS,,421040,UT VTA BIENES  DE USO,Sales - Media Default
INGRESOS,INGRESOS NO OPERATIVOS,OTROS INGRESOS,,421041,RESULTADO VENTA DE ACCIONES,Sales - Media Default
INGRESOS,INGRESOS NO OPERATIVOS,OTROS INGRESOS,,421042,RESULTADO POR INVERSIONES PERMANENTES,Sales - Media Default
INGRESOS,INGRESOS NO OPERATIVOS,OTROS INGRESOS,,421043,Actualización Garantía Alquileres,Sales - Media Default
EGRESOS,O & G,GASTOS DE REPRESENTACION Y PR,,500018,PROMOCION Y PRENSA,Agency Promotion
EGRESOS,STAFF COST,STAFF COST,,511001,REMUNERACIONES,Payroll
EGRESOS,STAFF COST,STAFF COST,,511002,CARGAS SOCIALES,Payroll Taxes
EGRESOS,STAFF COST,STAFF COST,,511004,SUELDO ANUAL COMPLEMENTARIO,Payroll Expenses
EGRESOS,STAFF COST,STAFF COST,,511005,SEGURO DE VIDA,Employee Insurance
EGRESOS,STAFF COST,STAFF COST,,511006,SINDICATO UNICO DE PUBLICIDAD,Payroll Expenses
EGRESOS,STAFF COST,STAFF COST,,511007,OBRA SOCIAL PREPAGAS SOCIOS,Employee Insurance
EGRESOS,STAFF COST,STAFF COST,,511008,GASTOS POR PASANTIAS,Payroll Expenses
EGRESOS,O & G,SERVICIOS PROFESIONALES,,511010,CONTROL MEDICOyPREOCUPACIONAL,Payroll Expenses
EGRESOS,STAFF COST,STAFF COST,,511011,GASTOS CAPACITACION PERSONAL,Payroll Expenses
EGRESOS,STAFF COST,STAFF COST,,511012,REGALOS A EMPLEADOS,Employee Gifts
EGRESOS,STAFF COST,STAFF COST,,511013,BONOS Y GRATIFICACIONES,Payroll - Bonuses
EGRESOS,STAFF COST,STAFF COST,,511014,VACACIONES,Payroll Expenses
EGRESOS,STAFF COST,STAFF COST,,511015,HONORARIOS FREE LANCE,Contract Labor
EGRESOS,STAFF COST,STAFF COST,,511016,ART SEGUROS,Payroll Expenses
EGRESOS,STAFF COST,STAFF COST,,511017,INDEMNIZACION POR DESPIDO,Severances
EGRESOS,STAFF COST,STAFF COST,,511018,GASTOS EXTRAS DEL PERSONAL,Payroll Expenses
EGRESOS,STAFF COST,STAFF COST,,511019,AUTONOMOS,Payroll Expenses
EGRESOS,STAFF COST,STAFF COST,,511020,SERVICIOS BACK OFFICE,Payroll Expenses
EGRESOS,IMPUESTOS,IMPUESTOS,,511021,IMPUESTO PAIS,Taxes & Licenses
EGRESOS,O & G,OCCUPANCY,,511022,EGRESOS POR SERVICIOS GASTOS COMPARTIDOS,Agency Community
